Entry	Entry Name	Gene Names	Protein names	GeneID	Organism
Q8N7H1	CL061_HUMAN	LINC01465 C12orf61	Putative uncharacterized protein encoded by LINC01465		Homo sapiens (Human)
Q5U649	CL060_HUMAN	C12orf60	Uncharacterized protein C12orf60	144608;	Homo sapiens (Human)
Q8IXR9	CL056_HUMAN	C12orf56	Uncharacterized protein C12orf56	115749;	Homo sapiens (Human)
Q6X4T0	CL054_HUMAN	C12orf54 HSD-29 HSD-30 HSD29 HSD30	Uncharacterized protein C12orf54	121273;	Homo sapiens (Human)
Q8NA57	CL050_HUMAN	C12orf50	Uncharacterized protein C12orf50	160419;	Homo sapiens (Human)
Q96LP6	CL042_HUMAN	C12orf42	Uncharacterized protein C12orf42	374470;	Homo sapiens (Human)
Q86WS4	CL040_HUMAN	C12orf40	Uncharacterized protein C12orf40	283461;	Homo sapiens (Human)
Q96LM1	CL037_HUMAN	LINC00615 C12orf37	Putative uncharacterized protein encoded by LINC00615		Homo sapiens (Human)
Q495D7	CL036_HUMAN	LINC01559 C12orf36	Putative uncharacterized protein encoded by LINC01559		Homo sapiens (Human)
Q8N6U2	CL033_HUMAN	LINC00612 C12orf33	Putative uncharacterized protein encoded by LINC00612		Homo sapiens (Human)
Q8N999	CL029_HUMAN	C12orf29	Uncharacterized protein C12orf29	91298;	Homo sapiens (Human)
Q9NQ89	CL004_HUMAN	C12orf4	Protein C12orf4	57102;	Homo sapiens (Human)
P33552	CKS2_HUMAN	CKS2	Cyclin-dependent kinases regulatory subunit 2 (CKS-2)	1164;	Homo sapiens (Human)
P61024	CKS1_HUMAN	CKS1B CKS1 PNAS-143 PNAS-16	Cyclin-dependent kinases regulatory subunit 1 (CKS-1)	1163;	Homo sapiens (Human)
Q8IYA6	CKP2L_HUMAN	CKAP2L	Cytoskeleton-associated protein 2-like (Radial fiber and mitotic spindle protein) (Radmis)	150468;	Homo sapiens (Human)
Q9UBR5	CKLF_HUMAN	CKLF CKLF1 HSPC224 UNQ410/PRO772	Chemokine-like factor (C32)	51192;	Homo sapiens (Human)
Q8IZV2	CKLF8_HUMAN	CMTM8 CKLFSF8	CKLF-like MARVEL transmembrane domain-containing protein 8 (Chemokine-like factor superfamily member 8)	152189;	Homo sapiens (Human)
Q96FZ5	CKLF7_HUMAN	CMTM7 CKLFSF7	CKLF-like MARVEL transmembrane domain-containing protein 7 (Chemokine-like factor superfamily member 7)	112616;	Homo sapiens (Human)
Q9NX76	CKLF6_HUMAN	CMTM6 CKLFSF6	CKLF-like MARVEL transmembrane domain-containing protein 6 (Chemokine-like factor superfamily member 6)	54918;	Homo sapiens (Human)
Q96DZ9	CKLF5_HUMAN	CMTM5 CKLFSF5	CKLF-like MARVEL transmembrane domain-containing protein 5 (Chemokine-like factor superfamily member 5)	116173;	Homo sapiens (Human)
Q8IZR5	CKLF4_HUMAN	CMTM4 CKLFSF4	CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)	146223;	Homo sapiens (Human)
Q96MX0	CKLF3_HUMAN	CMTM3 CKLFSF3	CKLF-like MARVEL transmembrane domain-containing protein 3 (Chemokine-like factor superfamily member 3)	123920;	Homo sapiens (Human)
Q8TAZ6	CKLF2_HUMAN	CMTM2 CKLFSF2	CKLF-like MARVEL transmembrane domain-containing protein 2 (Chemokine-like factor superfamily member 2)	146225;	Homo sapiens (Human)
Q8IZ96	CKLF1_HUMAN	CMTM1 CKLFSF1	CKLF-like MARVEL transmembrane domain-containing protein 1 (Chemokine-like factor superfamily member 1)	113540;	Homo sapiens (Human)
Q14008	CKAP5_HUMAN	CKAP5 KIAA0097	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	9793;	Homo sapiens (Human)
Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	10970;	Homo sapiens (Human)
Q8WWK9	CKAP2_HUMAN	CKAP2 LB1 TMAP	Cytoskeleton-associated protein 2 (CTCL tumor antigen se20-10) (Tumor- and microtubule-associated protein)	26586;	Homo sapiens (Human)
Q96JB5	CK5P3_HUMAN	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553	CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	80279;	Homo sapiens (Human)
Q96SN8	CK5P2_HUMAN	CDK5RAP2 CEP215 KIAA1633	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	55755;	Homo sapiens (Human)
Q96SZ6	CK5P1_HUMAN	CDK5RAP1 C20orf34 CGI-05 HSPC167	Mitochondrial tRNA methylthiotransferase CDK5RAP1 (EC 2.8.4.3) (CDK5 activator-binding protein C42) (CDK5 regulatory subunit-associated protein 1) (mt-tRNA-2-methylthio-N6-dimethylallyladenosine synthase) (mt-tRNA-N6-(dimethylallyl)adenosine(37) methylthiotransferase)	51654;	Homo sapiens (Human)
Q96S95	CK2N2_HUMAN	CAMK2N2	Calcium/calmodulin-dependent protein kinase II inhibitor 2 (CaM-KII inhibitory protein) (CaM-KIIN)	94032;	Homo sapiens (Human)
Q7Z7J9	CK2N1_HUMAN	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1 (CaMKII inhibitory protein alpha) (CaMKIIN-alpha)	55450;	Homo sapiens (Human)
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	102288414;	Homo sapiens (Human)
A0A1B0GVM6	CK097_HUMAN	C11orf97	Uncharacterized protein C11orf97	643037;	Homo sapiens (Human)
Q7Z7L8	CK096_HUMAN	C11orf96 AG2	Uncharacterized protein C11orf96 (Protein Ag2 homolog)	387763;	Homo sapiens (Human)
C9JXX5	CK094_HUMAN	C11orf94	Uncharacterized protein C11orf94	143678;	Homo sapiens (Human)
Q3C1V1	CK091_HUMAN	C11orf91	Uncharacterized protein C11orf91	100131378;	Homo sapiens (Human)
Q6NUJ2	CK087_HUMAN	C11orf87	Uncharacterized protein C11orf87	399947;	Homo sapiens (Human)
A6NJI1	CK086_HUMAN	C11orf86	Uncharacterized protein C11orf86	254439;	Homo sapiens (Human)
Q8NBR9	CK072_HUMAN	NDUFV1-DT C11orf72	Uncharacterized protein NDUFV1-DT (NDUFV1 divergent transcript)		Homo sapiens (Human)
Q6IPW1	CK071_HUMAN	C11orf71	Uncharacterized protein C11orf71	54494;	Homo sapiens (Human)
Q9H3H3	CK068_HUMAN	C11orf68 BLES03	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	83638;	Homo sapiens (Human)
Q9H0W9	CK054_HUMAN	C11orf54 LP4947 PTD012	Ester hydrolase C11orf54 (EC 3.1.-.-)	28970;	Homo sapiens (Human)
Q8IXP5	CK053_HUMAN	POU2AF2 C11orf53	Protein POU2AF2 (POU class 2 homeobox-associating factor 2)	341032;	Homo sapiens (Human)
Q96A22	CK052_HUMAN	C11orf52	Uncharacterized protein C11orf52	91894;	Homo sapiens (Human)
Q8N5U0	CK042_HUMAN	C11orf42	Uncharacterized protein C11orf42	160298;	Homo sapiens (Human)
Q8WZ69	CK040_HUMAN	C11orf40 NOV1	Putative uncharacterized protein C11orf40 (Ro/SSA1-related protein)		Homo sapiens (Human)
Q96N53	CK037_HUMAN	PRDM10-DT C11orf37 LINC00167 NCRNA00167	Putative uncharacterized protein encoded by LINC00167 (PRDM10-DT divergent transcript)		Homo sapiens (Human)
Q96F05	CK024_HUMAN	C11orf24 FP2568 UNQ1872/PRO4315	Uncharacterized protein C11orf24 (Protein DM4E3)	53838;	Homo sapiens (Human)
Q9P2W6	CK021_HUMAN	C11orf21	Uncharacterized protein C11orf21	29125;	Homo sapiens (Human)
Q9NQ32	CK016_HUMAN	C11orf16	Uncharacterized protein C11orf16	56673;	Homo sapiens (Human)
Q9H5F2	CK001_HUMAN	C11orf1	UPF0686 protein C11orf1	64776;	Homo sapiens (Human)
A0A1B0GUT2	CJ143_HUMAN	C10orf143	Uncharacterized protein C10orf143		Homo sapiens (Human)
B7Z368	CJ142_HUMAN	LINC02881 C10orf142	Uncharacterized protein encoded by LINC02881 (Long intergenic non-protein coding RNA 2881)		Homo sapiens (Human)
Q8N4M7	CJ126_HUMAN	C10orf126	Putative uncharacterized protein C10orf126		Homo sapiens (Human)
Q5SQS8	CJ120_HUMAN	C10orf120	Uncharacterized protein C10orf120	399814;	Homo sapiens (Human)
Q8N326	CJ111_HUMAN	RPP38-DT C10orf111	Putative uncharacterized protein RPP38-DT (RPP38 divergent transcript protein)		Homo sapiens (Human)
Q8TEF2	CJ105_HUMAN	C10orf105	Uncharacterized protein C10orf105	414152;	Homo sapiens (Human)
Q9H7T3	CJ095_HUMAN	C10orf95	Uncharacterized protein C10orf95		Homo sapiens (Human)
Q96M02	CJ090_HUMAN	C10orf90 FATS	(E2-independent) E3 ubiquitin-conjugating enzyme FATS (EC 2.3.2.-) (Centrosomal protein C10orf90) (E2/E3 hybrid ubiquitin-protein ligase FATS) (Fragile-site associated tumor suppressor homolog) (FATS)	118611;	Homo sapiens (Human)
Q8N1V8	CJ085_HUMAN	LINC01561 C10orf85	Uncharacterized protein encoded by LINC01561		Homo sapiens (Human)
Q8WW14	CJ082_HUMAN	C10orf82	Uncharacterized protein C10orf82	143379;	Homo sapiens (Human)
Q8IYJ2	CJ067_HUMAN	C10orf67 LINC01552	Uncharacterized protein C10orf67, mitochondrial	256815;	Homo sapiens (Human)
Q5T681	CJ062_HUMAN	C10orf62	Uncharacterized protein C10orf62	414157;	Homo sapiens (Human)
Q5SWW7	CJ055_HUMAN	C10orf55	Uncharacterized protein C10orf55		Homo sapiens (Human)
Q8N6V4	CJ053_HUMAN	C10orf53	UPF0728 protein C10orf53	282966;	Homo sapiens (Human)
A4QN01	CJ040_HUMAN	LINC01553 C10orf40	Putative uncharacterized protein encoded by LINC01553		Homo sapiens (Human)
Q9ULV3	CIZ1_HUMAN	CIZ1 LSFR1 NP94 ZNF356	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	25792;	Homo sapiens (Human)
Q96RK1	CITE4_HUMAN	CITED4 MRG2	Cbp/p300-interacting transactivator 4 (MSG1-related protein 2) (MRG-2)	163732;	Homo sapiens (Human)
Q99967	CITE2_HUMAN	CITED2 MRG1	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj)	10370;	Homo sapiens (Human)
Q99966	CITE1_HUMAN	CITED1 MSG1	Cbp/p300-interacting transactivator 1 (Melanocyte-specific protein 1)	4435;	Homo sapiens (Human)
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	1431;	Homo sapiens (Human)
Q9NSE2	CISH_HUMAN	CISH G18	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS)	1154;	Homo sapiens (Human)
P0C7P0	CISD3_HUMAN	CISD3	CDGSH iron-sulfur domain-containing protein 3, mitochondrial (MitoNEET-related protein 2) (Miner2) (Mitochondrial inner NEET protein) (MiNT)	284106;	Homo sapiens (Human)
Q8N5K1	CISD2_HUMAN	CISD2 CDGSH2 ERIS ZCD2	CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1)	493856;	Homo sapiens (Human)
Q9NZ45	CISD1_HUMAN	CISD1 C10orf70 ZCD1 MDS029	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	55847;	Homo sapiens (Human)
A0A1B0GTW7	CIROP_HUMAN	CIROP LMLN2	Ciliated left-right organizer metallopeptidase (Leishmanolysin-like peptidase 2) (EC 3.4.24.-)		Homo sapiens (Human)
Q14011	CIRBP_HUMAN	CIRBP A18HNRNP CIRP	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	1153;	Homo sapiens (Human)
Q86X95	CIR1_HUMAN	CIR1 CIR	Corepressor interacting with RBPJ 1 (CBF1-interacting corepressor) (Recepin)	9541;	Homo sapiens (Human)
Q9C0C6	CIPC_HUMAN	CIPC KIAA1737	CLOCK-interacting pacemaker (CLOCK-interacting circadian protein)	85457;	Homo sapiens (Human)
Q15642	CIP4_HUMAN	TRIP10 CIP4 STOT STP	Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)	9322;	Homo sapiens (Human)
Q8TCG1	CIP2A_HUMAN	CIP2A KIAA1524	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	57650;	Homo sapiens (Human)
Q9NPC3	CIP1_HUMAN	CCNB1IP1 C14orf18 HEI10	E3 ubiquitin-protein ligase CCNB1IP1 (EC 2.3.2.27) (Cyclin-B1-interacting protein 1) (Human enhancer of invasion 10) (RING-type E3 ubiquitin transferase CCNB1IP1)	57820;	Homo sapiens (Human)
Q9BW66	CINP_HUMAN	CINP	Cyclin-dependent kinase 2-interacting protein (CDK2-interacting protein)	51550;	Homo sapiens (Human)
Q9P2M7	CING_HUMAN	CGN KIAA1319	Cingulin	57530;	Homo sapiens (Human)
Q8IUL8	CILP2_HUMAN	CILP2	Cartilage intermediate layer protein 2 (CILP-2) [Cleaved into: Cartilage intermediate layer protein 2 C1; Cartilage intermediate layer protein 2 C2]	148113;	Homo sapiens (Human)
O75339	CILP1_HUMAN	CILP UNQ602/PRO1188	Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]	8483;	Homo sapiens (Human)
Q9UPZ9	CILK1_HUMAN	CILK1 ICK KIAA0936	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Ciliogenesis associated kinase 1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	22858;	Homo sapiens (Human)
O43734	CIKS_HUMAN	TRAF3IP2 C6orf2 C6orf4 C6orf5 C6orf6	E3 ubiquitin ligase TRAF3IP2 (EC 2.3.2.27) (Adapter protein CIKS) (Connection to IKK and SAPK/JNK) (E3 ubiquitin-protein ligase CIKS) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2)	10758;	Homo sapiens (Human)
Q96AQ7	CIDEC_HUMAN	CIDEC FSP27	Cell death activator CIDE-3 (Cell death-inducing DFFA-like effector protein C) (Fat-specific protein FSP27 homolog)	63924;	Homo sapiens (Human)
Q9UHD4	CIDEB_HUMAN	CIDEB	Cell death activator CIDE-B (Cell death-inducing DFFA-like effector B)	27141;	Homo sapiens (Human)
O60543	CIDEA_HUMAN	CIDEA	Cell death activator CIDE-A (Cell death-inducing DFFA-like effector A)	1149;	Homo sapiens (Human)
Q96RK0	CIC_HUMAN	CIC KIAA0306	Protein capicua homolog	23152;	Homo sapiens (Human)
A0PJX0	CIB4_HUMAN	CIB4	Calcium and integrin-binding family member 4	130106;	Homo sapiens (Human)
Q96Q77	CIB3_HUMAN	CIB3 KIP3	Calcium and integrin-binding family member 3 (Kinase-interacting protein 3) (KIP 3)	117286;	Homo sapiens (Human)
O75838	CIB2_HUMAN	CIB2 KIP2	Calcium and integrin-binding family member 2 (Kinase-interacting protein 2) (KIP 2)	10518;	Homo sapiens (Human)
Q99828	CIB1_HUMAN	CIB1 CIB KIP PRKDCIP	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	10519;	Homo sapiens (Human)
Q8N365	CIART_HUMAN	CIART C1orf51	Circadian-associated transcriptional repressor (ChIP-derived repressor of network oscillator) (Chrono) (Computationally highlighted repressor of the network oscillator)	148523;	Homo sapiens (Human)
Q9H6Q4	CIAO3_HUMAN	CIAO3 NARFL PRN	Cytosolic iron-sulfur assembly component 3 (Cytosolic Fe-S cluster assembly factor NARFL) (Iron-only hydrogenase-like protein 1) (IOP1) (Nuclear prelamin A recognition factor-like protein) (Protein related to Narf)	64428;	Homo sapiens (Human)
O76071	CIAO1_HUMAN	CIAO1 CIA1 WDR39	Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39)	9391;	Homo sapiens (Human)
Q9Y375	CIA30_HUMAN	NDUFAF1 CIA30 CGI-65	Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)	51103;	Homo sapiens (Human)
Q9Y3D0	CIA2B_HUMAN	CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118	Cytosolic iron-sulfur assembly component 2B (MSS19-interacting protein of 18 kDa) (Mitotic spindle-associated MMXD complex subunit MIP18) (Protein FAM96B)	51647;	Homo sapiens (Human)
Q9H5X1	CIA2A_HUMAN	CIAO2A CIA2A FAM96A	Cytosolic iron-sulfur assembly component 2A (MIP18 family protein FAM96A)	84191;	Homo sapiens (Human)
A2RU37	CI170_HUMAN	LINC02872 C9orf170	Uncharacterized protein encoded by LINC02872 (Long intergenic non-protein coding RNA 2872)		Homo sapiens (Human)
Q8N9P6	CI163_HUMAN	C9orf163	Uncharacterized protein C9orf163	158055;	Homo sapiens (Human)
Q5TBE3	CI153_HUMAN	C9orf153	Uncharacterized protein C9orf153	389766;	Homo sapiens (Human)
Q5JTZ5	CI152_HUMAN	C9orf152	Uncharacterized protein C9orf152	401546;	Homo sapiens (Human)
Q6ZV77	CI139_HUMAN	LINC02908 C9orf139	Putative uncharacterized protein LINC02908 (Long intergenic non-protein coding RNA 2908)	401563;	Homo sapiens (Human)
Q5VYM1	CI131_HUMAN	C9orf131	Uncharacterized protein C9orf131	138724;	Homo sapiens (Human)
Q8WZB0	CI130_HUMAN	ERCC6L2-AS1 C9orf130 LINC00476 NAG12	Putative uncharacterized protein ERCC6L2-AS1 (ERCC6L2 antisense RNA 1) (Nasopharyngeal carcinoma-associated gene 12 protein)		Homo sapiens (Human)
Q5T035	CI129_HUMAN	C9orf129	Putative uncharacterized protein C9orf129	445577;	Homo sapiens (Human)
Q5T280	CI114_HUMAN	SPOUT1 C9orf114	Putative methyltransferase C9orf114 (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (SPOUT domain-containing methyltransferase 1)	51490;	Homo sapiens (Human)
B1AMM8	CI107_HUMAN	LINC00587 C9orf107	Putative uncharacterized protein encoded by LINC00587		Homo sapiens (Human)
Q8NAJ2	CI106_HUMAN	LINC02913 C9orf106	Putative uncharacterized protein encoded by LINC02913		Homo sapiens (Human)
A6NGG3	CI092_HUMAN	C9orf92	Putative uncharacterized protein C9orf92	100129385;	Homo sapiens (Human)
Q96MD7	CI085_HUMAN	C9orf85	Uncharacterized protein C9orf85	138241;	Homo sapiens (Human)
Q96LT7	CI072_HUMAN	C9orf72 DENND9 DENNL72	Guanine nucleotide exchange factor C9orf72	203228;	Homo sapiens (Human)
Q5W0N0	CI057_HUMAN	C9orf57	Uncharacterized protein C9orf57	138240;	Homo sapiens (Human)
Q5SZB4	CI050_HUMAN	C9orf50	Uncharacterized protein C9orf50	375759;	Homo sapiens (Human)
Q8TAL5	CI043_HUMAN	C9orf43	Uncharacterized protein C9orf43	257169;	Homo sapiens (Human)
Q8IXQ3	CI040_HUMAN	C9orf40	Uncharacterized protein C9orf40	55071;	Homo sapiens (Human)
Q9H2J1	CI037_HUMAN	ARRDC1-AS1 C9orf37 AD038	Uncharacterized protein ARRDC1-AS1 (ARRDC1 antisense RNA 1) (ARRDC1 antisense gene protein 1)		Homo sapiens (Human)
Q9P2X8	CI027_HUMAN	LINC00474 C9orf27	Putative uncharacterized protein encoded by LINC00474 (Protein EST-YD1)		Homo sapiens (Human)
P0C843	CI014_HUMAN	LINC00032 C9orf14 NCRNA00032	Putative uncharacterized protein encoded by LINC00032		Homo sapiens (Human)
Q8WUH1	CHUR_HUMAN	CHURC1 C14orf52 CHCH My015	Protein Churchill	91612;	Homo sapiens (Human)
Q9Y3Y2	CHTOP_HUMAN	CHTOP C1orf77 FOP HT031 PP7704	Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein) (SRAG)	26097;	Homo sapiens (Human)
Q7LFX5	CHSTF_HUMAN	CHST15 BRAG GALNAC4S6ST KIAA0598	Carbohydrate sulfotransferase 15 (EC 2.8.2.33) (B-cell RAG-associated gene protein) (hBRAG) (N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase) (GalNAc4S-6ST)	51363;	Homo sapiens (Human)
Q8NCH0	CHSTE_HUMAN	CHST14 D4ST1 UNQ1925/PRO4400	Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1)	113189;	Homo sapiens (Human)
Q8NET6	CHSTD_HUMAN	CHST13	Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3)	166012;	Homo sapiens (Human)
Q9NRB3	CHSTC_HUMAN	CHST12 UNQ500/PRO1017	Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2) (Sulfotransferase Hlo)	55501;	Homo sapiens (Human)
Q9NPF2	CHSTB_HUMAN	CHST11	Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1)	50515;	Homo sapiens (Human)
O43529	CHSTA_HUMAN	CHST10	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	9486;	Homo sapiens (Human)
Q7L1S5	CHST9_HUMAN	CHST9 UNQ2549/PRO6175	Carbohydrate sulfotransferase 9 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 2) (GalNAc-4-ST2) (GalNAc4ST-2) (N-acetylgalactosamine-4-O-sulfotransferase 2)	83539;	Homo sapiens (Human)
Q9H2A9	CHST8_HUMAN	CHST8	Carbohydrate sulfotransferase 8 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 1) (GalNAc-4-ST1) (GalNAc4ST-1) (N-acetylgalactosamine-4-O-sulfotransferase 1)	64377;	Homo sapiens (Human)
Q9NS84	CHST7_HUMAN	CHST7	Carbohydrate sulfotransferase 7 (EC 2.8.2.-) (EC 2.8.2.17) (Chondroitin 6-sulfotransferase 2) (C6ST-2) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 5) (GST-5) (N-acetylglucosamine 6-O-sulfotransferase 4) (GlcNAc6ST-4) (Gn6st-4)	56548;	Homo sapiens (Human)
Q9GZX3	CHST6_HUMAN	CHST6	Carbohydrate sulfotransferase 6 (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5)	4166;	Homo sapiens (Human)
Q9GZS9	CHST5_HUMAN	CHST5	Carbohydrate sulfotransferase 5 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-alpha) (GST4-alpha) (Intestinal N-acetylglucosamine-6-O-sulfotransferase) (I-GlcNAc6ST) (Intestinal GlcNAc-6-sulfotransferase) (hIGn6ST) (N-acetylglucosamine 6-O-sulfotransferase 3) (GlcNAc6ST-3) (Gn6st-3)	23563;	Homo sapiens (Human)
Q8NCG5	CHST4_HUMAN	CHST4	Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2)	10164;	Homo sapiens (Human)
Q7LGC8	CHST3_HUMAN	CHST3	Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (EC 2.8.2.21) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (C6ST) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0)	9469;	Homo sapiens (Human)
Q9Y4C5	CHST2_HUMAN	CHST2 GN6ST	Carbohydrate sulfotransferase 2 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 2) (GST-2) (N-acetylglucosamine 6-O-sulfotransferase 1) (GlcNAc6ST-1) (Gn6ST-1)	9435;	Homo sapiens (Human)
O43916	CHST1_HUMAN	CHST1	Carbohydrate sulfotransferase 1 (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST) (EC 2.8.2.21)	8534;	Homo sapiens (Human)
Q70JA7	CHSS3_HUMAN	CHSY3 CHSY2 CSS3	Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)	337876;	Homo sapiens (Human)
Q8IZ52	CHSS2_HUMAN	CHPF CSS2 UNQ651/PRO1281	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	79586;	Homo sapiens (Human)
Q86X52	CHSS1_HUMAN	CHSY1 CHSY CSS1 KIAA0990 UNQ756/PRO1487	Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1)	22856;	Homo sapiens (Human)
Q9Y2V2	CHSP1_HUMAN	CARHSP1	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24)	23589;	Homo sapiens (Human)
Q9H2X0	CHRD_HUMAN	CHRD UNQ217/PRO243	Chordin	8646;	Homo sapiens (Human)
Q9UHD1	CHRD1_HUMAN	CHORDC1 CHP1	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana)	26973;	Homo sapiens (Human)
